Date,Open,High,Low,Close
3-January-2000,,,,1384.78,
4-January-2000,,,,1398.91,
5-January-2000,,,,1392.58,
6-January-2000,,,,1435.42,
7-January-2000,,,,1432.15,
10-January-2000,,,,1488.67,
11-January-2000,,,,1455.44,
12-January-2000,,,,1454.14,
13-January-2000,,,,1447.07,
14-January-2000,,,,1475.11,
17-January-2000,,,,1536.70,
18-January-2000,,,,1549.67,
19-January-2000,,,,1542.78,
20-January-2000,,,,1498.43,
21-January-2000,,,,1476.02,
24-January-2000,,,,1429.51,
25-January-2000,,,,1395.44,
27-January-2000,,,,1367.25,
28-January-2000,,,,1355.73,
31-January-2000,,,,1341.65,
1-February-2000,,,,1329.36,
2-February-2000,,,,1334.06,
3-February-2000,,,,1326.45,
4-February-2000,,,,1304.02,
7-February-2000,,,,1308.13,
8-February-2000,,,,1327.68,
9-February-2000,,,,1301.76,
10-February-2000,,,,1319.37,
11-February-2000,,,,1302.03,
14-February-2000,,,,1281.34,
15-February-2000,,,,1251.74,
16-February-2000,,,,1221.62,
17-February-2000,,,,1228.92,
18-February-2000,,,,1189.99,
21-February-2000,,,,1223.57,
22-February-2000,,,,1239.19,
23-February-2000,,,,1202.53,
24-February-2000,,,,1206.31,
25-February-2000,,,,1168.79,
28-February-2000,,,,1193.36,
29-February-2000,,,,1143.79,
1-March-2000,,,,1132.05,
2-March-2000,,,,1063.90,
3-March-2000,,,,1004.65,
6-March-2000,,,,1026.89,
7-March-2000,,,,1000.81,
8-March-2000,,,,968.35,
9-March-2000,,,,961.09,
10-March-2000,,,,962.58,
13-March-2000,,,,970.12,
14-March-2000,,,,983.72,
15-March-2000,,,,979.42,
16-March-2000,,,,976.18,
21-March-2000,,,,1027.84,
22-March-2000,,,,1079.11,
23-March-2000,,,,1063.72,
24-March-2000,,,,1038.83,
27-March-2000,,,,1051.02,
28-March-2000,,,,1052.23,
29-March-2000,,,,1050.28,
30-March-2000,,,,1015.38,
31-March-2000,,,,1040.17,
3-April-2000,,,,1037.41,
4-April-2000,,,,995.17,
5-April-2000,,,,1003.16,
6-April-2000,,,,997.36,
7-April-2000,,,,1048.44,
10-April-2000,,,,1077.15,
11-April-2000,,,,1056.37,
12-April-2000,,,,1032.11,
13-April-2000,,,,1017.11,
17-April-2000,,,,986.63,
18-April-2000,,,,985.17,
19-April-2000,,,,975.45,
20-April-2000,,,,967.46,
24-April-2000,,,,959.29,
25-April-2000,,,,955.04,
26-April-2000,,,,987.98,
27-April-2000,,,,964.61,
28-April-2000,,,,952.19,
2-May-2000,,,,938.29,
3-May-2000,,,,923.47,
4-May-2000,,,,938.47,
5-May-2000,,,,975.89,
8-May-2000,,,,969.30,
9-May-2000,,,,963.77,
10-May-2000,,,,953.23,
11-May-2000,,,,918.88,
12-May-2000,,,,875.85,
15-May-2000,,,,887.41,
16-May-2000,,,,891.07,
17-May-2000,,,,900.05,
18-May-2000,,,,891.46,
19-May-2000,,,,890.64,
22-May-2000,,,,876.57,
23-May-2000,,,,861.86,
24-May-2000,,,,867.75,
25-May-2000,,,,881.66,
26-May-2000,,,,881.22,
29-May-2000,,,,902.29,
30-May-2000,,,,918.44,
31-May-2000,,,,937.07,
1-June-2000,,,,919.83,
2-June-2000,,,,917.20,
5-June-2000,,,,917.83,
6-June-2000,,,,927.55,
7-June-2000,,,,925.38,
8-June-2000,,,,928.34,
9-June-2000,,,,939.62,
12-June-2000,,,,937.52,
13-June-2000,,,,945.46,
14-June-2000,,,,951.88,
15-June-2000,,,,948.62,
16-June-2000,,,,959.88,
19-June-2000,,,,961.38,
20-June-2000,,,,958.11,
21-June-2000,,,,945.98,
22-June-2000,,,,943.98,
23-June-2000,,,,929.18,
26-June-2000,,,,927.53,
27-June-2000,,,,924.61,
28-June-2000,,,,926.41,
29-June-2000,,,,935.76,
30-June-2000,,,,931.49,
3-July-2000,,,,926.81,
4-July-2000,,,,931.75,
5-July-2000,,,,933.67,
6-July-2000,,,,936.27,
7-July-2000,,,,933.27,
10-July-2000,,,,944.31,
11-July-2000,,,,947.06,
12-July-2000,,,,958.74,
13-July-2000,,,,951.88,
14-July-2000,,,,945.03,
17-July-2000,,,,959.92,
18-July-2000,,,,956.18,
19-July-2000,,,,942.36,
20-July-2000,,,,934.19,
21-July-2000,,,,920.04,
24-July-2000,,,,883.60,
25-July-2000,,,,893.80,
26-July-2000,,,,863.10,
27-July-2000,,,,883.49,
28-July-2000,,,,874.20,
31-July-2000,,,,854.85,
1-August-2000,,,,832.55,
2-August-2000,,,,833.86,
3-August-2000,,,,827.52,
4-August-2000,,,,813.59,
