Date,Open,High,Low,Close
1-January-2002,,,,1000.00,
2-January-2002,,,,1006.66,
3-January-2002,,,,1034.96,
4-January-2002,,,,1034.40,
7-January-2002,,,,1017.60,
8-January-2002,,,,1012.14,
9-January-2002,,,,1036.51,
10-January-2002,,,,1035.16,
11-January-2002,,,,1024.20,
14-January-2002,,,,1068.97,
15-January-2002,,,,1072.07,
16-January-2002,,,,1077.11,
17-January-2002,,,,1074.29,
18-January-2002,,,,1087.30,
21-January-2002,,,,1083.38,
22-January-2002,,,,1085.56,
23-January-2002,,,,1080.43,
24-January-2002,,,,1058.32,
25-January-2002,,,,1054.32,
28-January-2002,,,,1074.01,
29-January-2002,,,,1049.28,
30-January-2002,,,,1055.34,
31-January-2002,,,,1047.68,
1-February-2002,,,,1052.64,
4-February-2002,,,,1075.91,
5-February-2002,,,,1067.19,
6-February-2002,,,,1133.37,
7-February-2002,,,,1146.03,
8-February-2002,,,,1159.12,
11-February-2002,,,,1172.33,
12-February-2002,,,,1159.75,
13-February-2002,,,,1183.73,
14-February-2002,,,,1214.05,
15-February-2002,,,,1241.81,
18-February-2002,,,,1257.85,
19-February-2002,,,,1215.98,
20-February-2002,,,,1217.73,
21-February-2002,,,,1230.85,
22-February-2002,,,,1264.34,
25-February-2002,,,,1261.84,
26-February-2002,,,,1284.29,
27-February-2002,,,,1257.88,
28-February-2002,,,,1185.27,
1-March-2002,,,,1221.88,
4-March-2002,,,,1223.91,
5-March-2002,,,,1214.74,
6-March-2002,,,,1218.72,
7-March-2002,,,,1220.90,
8-March-2002,,,,1211.22,
11-March-2002,,,,1204.67,
12-March-2002,,,,1183.05,
13-March-2002,,,,1189.66,
14-March-2002,,,,1193.01,
15-March-2002,,,,1213.41,
18-March-2002,,,,1208.06,
19-March-2002,,,,1206.38,
20-March-2002,,,,1196.65,
21-March-2002,,,,1191.09,
22-March-2002,,,,1185.73,
26-March-2002,,,,1178.84,
27-March-2002,,,,1183.05,
28-March-2002,,,,1178.51,
1-April-2002,,,,1215.34,
2-April-2002,,,,1213.49,
3-April-2002,,,,1198.54,
4-April-2002,,,,1196.23,
5-April-2002,,,,1191.83,
8-April-2002,,,,1204.61,
9-April-2002,,,,1200.07,
10-April-2002,,,,1203.33,
11-April-2002,,,,1213.32,
12-April-2002,,,,1214.95,
15-April-2002,,,,1209.36,
16-April-2002,,,,1208.59,
17-April-2002,,,,1212.17,
18-April-2002,,,,1217.28,
19-April-2002,,,,1199.25,
22-April-2002,,,,1189.40,
23-April-2002,,,,1192.71,
24-April-2002,,,,1196.36,
25-April-2002,,,,1190.77,
26-April-2002,,,,1195.11,
29-April-2002,,,,1164.72,
30-April-2002,,,,1167.30,
2-May-2002,,,,1165.78,
3-May-2002,,,,1170.75,
6-May-2002,,,,1175.62,
7-May-2002,,,,1197.44,
8-May-2002,,,,1206.21,
9-May-2002,,,,1214.41,
10-May-2002,,,,1213.54,
13-May-2002,,,,1217.39,
14-May-2002,,,,1225.50,
15-May-2002,,,,1215.61,
16-May-2002,,,,1193.21,
17-May-2002,,,,1191.86,
20-May-2002,,,,1176.30,
21-May-2002,,,,1178.07,
22-May-2002,,,,1169.90,
23-May-2002,,,,1151.60,
24-May-2002,,,,1175.28,
27-May-2002,,,,1167.99,
28-May-2002,,,,1163.11,
29-May-2002,,,,1165.38,
30-May-2002,,,,1169.49,
31-May-2002,,,,1209.18,
3-June-2002,,,,1199.42,
4-June-2002,,,,1194.91,
5-June-2002,,,,1237.38,
6-June-2002,,,,1274.31,
7-June-2002,,,,1253.77,
10-June-2002,,,,1286.29,
11-June-2002,,,,1326.74,
12-June-2002,,,,1326.87,
13-June-2002,,,,1297.90,
14-June-2002,,,,1277.13,
17-June-2002,,,,1288.74,
18-June-2002,,,,1288.51,
19-June-2002,,,,1260.77,
20-June-2002,,,,1278.07,
21-June-2002,,,,1256.65,
24-June-2002,,,,1247.61,
25-June-2002,,,,1240.69,
26-June-2002,,,,1224.76,
27-June-2002,,,,1209.85,
28-June-2002,,,,1224.13,
1-July-2002,,,,1243.99,
2-July-2002,,,,1268.94,
3-July-2002,,,,1288.55,
4-July-2002,,,,1284.26,
5-July-2002,,,,1284.80,
8-July-2002,,,,1276.50,
9-July-2002,,,,1273.70,
10-July-2002,,,,1273.84,
11-July-2002,,,,1255.03,
12-July-2002,,,,1253.35,
15-July-2002,,,,1242.12,
16-July-2002,,,,1228.94,
17-July-2002,,,,1233.66,
18-July-2002,,,,1239.98,
19-July-2002,,,,1240.70,
22-July-2002,,,,1229.52,
23-July-2002,,,,1235.59,
24-July-2002,,,,1216.98,
25-July-2002,,,,1208.33,
26-July-2002,,,,1193.81,
29-July-2002,,,,1212.75,
30-July-2002,,,,1192.87,
31-July-2002,,,,1211.56,
1-August-2002,,,,1217.01,
2-August-2002,,,,1207.46,
5-August-2002,,,,1199.71,
6-August-2002,,,,1199.81,
7-August-2002,,,,1194.33,
8-August-2002,,,,1184.02,
9-August-2002,,,,1192.47,
12-August-2002,,,,1189.89,
13-August-2002,,,,1191.43,
14-August-2002,,,,1178.29,
16-August-2002,,,,1188.70,
19-August-2002,,,,1194.88,
20-August-2002,,,,1193.43,
21-August-2002,,,,1190.21,
22-August-2002,,,,1187.68,
23-August-2002,,,,1208.44,
26-August-2002,,,,1210.16,
27-August-2002,,,,1207.74,
28-August-2002,,,,1206.98,
29-August-2002,,,,1207.83,
30-August-2002,,,,1233.26,
2-September-2002,,,,1220.43,
3-September-2002,,,,1210.19,
4-September-2002,,,,1212.24,
5-September-2002,,,,1213.25,
6-September-2002,,,,1219.69,
9-September-2002,,,,1207.61,
11-September-2002,,,,1222.39,
12-September-2002,,,,1231.14,
13-September-2002,,,,1223.03,
16-September-2002,,,,1214.63,
17-September-2002,,,,1230.86,
18-September-2002,,,,1231.74,
19-September-2002,,,,1229.81,
20-September-2002,,,,1212.85,
23-September-2002,,,,1202.89,
24-September-2002,,,,1209.36,
25-September-2002,,,,1190.80,
26-September-2002,,,,1175.96,
27-September-2002,,,,1203.28,
30-September-2002,,,,1207.20,
1-October-2002,,,,1212.16,
3-October-2002,,,,1203.34,
4-October-2002,,,,1206.11,
7-October-2002,,,,1205.04,
8-October-2002,,,,1194.88,
9-October-2002,,,,1185.64,
10-October-2002,,,,1176.74,
11-October-2002,,,,1184.29,
14-October-2002,,,,1189.20,
16-October-2002,,,,1178.14,
17-October-2002,,,,1175.03,
18-October-2002,,,,1145.37,
21-October-2002,,,,1156.39,
22-October-2002,,,,1138.33,
23-October-2002,,,,1148.43,
24-October-2002,,,,1121.03,
25-October-2002,,,,1134.03,
28-October-2002,,,,1150.13,
29-October-2002,,,,1166.30,
30-October-2002,,,,1148.62,
31-October-2002,,,,1153.59,
1-November-2002,,,,1154.67,
4-November-2002,,,,1168.66,
5-November-2002,,,,1165.43,
7-November-2002,,,,1148.50,
8-November-2002,,,,1130.96,
11-November-2002,,,,1126.27,
12-November-2002,,,,1117.65,
13-November-2002,,,,1090.35,
14-November-2002,,,,1112.97,
15-November-2002,,,,1121.17,
18-November-2002,,,,1136.64,
20-November-2002,,,,1132.21,
21-November-2002,,,,1131.42,
22-November-2002,,,,1174.64,
25-November-2002,,,,1210.07,
26-November-2002,,,,1207.44,
27-November-2002,,,,1218.91,
28-November-2002,,,,1212.05,
29-November-2002,,,,1218.73,
2-December-2002,,,,1224.82,
3-December-2002,,,,1213.58,
4-December-2002,,,,1213.70,
5-December-2002,,,,1229.87,
6-December-2002,,,,1253.57,
9-December-2002,,,,1252.62,
10-December-2002,,,,1240.39,
11-December-2002,,,,1268.08,
12-December-2002,,,,1290.91,
13-December-2002,,,,1335.22,
16-December-2002,,,,1330.49,
17-December-2002,,,,1338.10,
18-December-2002,,,,1350.92,
19-December-2002,,,,1328.87,
20-December-2002,,,,1328.45,
