Date,Open,High,Low,Close
3-January-2000,,,,1172.50,
4-January-2000,,,,1138.74,
5-January-2000,,,,1116.22,
6-January-2000,,,,1168.77,
7-January-2000,,,,1207.37,
10-January-2000,,,,1255.48,
11-January-2000,,,,1232.46,
12-January-2000,,,,1289.86,
13-January-2000,,,,1314.43,
14-January-2000,,,,1294.61,
17-January-2000,,,,1255.34,
18-January-2000,,,,1249.12,
19-January-2000,,,,1236.71,
20-January-2000,,,,1221.26,
21-January-2000,,,,1225.86,
24-January-2000,,,,1229.54,
25-January-2000,,,,1204.07,
27-January-2000,,,,1214.61,
28-January-2000,,,,1177.67,
31-January-2000,,,,1155.21,
1-February-2000,,,,1124.67,
2-February-2000,,,,1154.85,
3-February-2000,,,,1145.87,
4-February-2000,,,,1112.56,
7-February-2000,,,,1119.85,
8-February-2000,,,,1127.52,
9-February-2000,,,,1176.12,
10-February-2000,,,,1175.54,
11-February-2000,,,,1198.91,
14-February-2000,,,,1177.40,
15-February-2000,,,,1202.10,
16-February-2000,,,,1195.44,
17-February-2000,,,,1217.14,
18-February-2000,,,,1249.00,
21-February-2000,,,,1303.96,
22-February-2000,,,,1344.27,
23-February-2000,,,,1305.47,
24-February-2000,,,,1353.86,
25-February-2000,,,,1332.55,
28-February-2000,,,,1334.62,
29-February-2000,,,,1260.72,
1-March-2000,,,,1290.20,
2-March-2000,,,,1208.33,
3-March-2000,,,,1146.65,
6-March-2000,,,,1127.36,
7-March-2000,,,,1136.26,
8-March-2000,,,,1136.37,
9-March-2000,,,,1112.74,
10-March-2000,,,,1142.53,
13-March-2000,,,,1165.11,
14-March-2000,,,,1224.79,
15-March-2000,,,,1263.70,
16-March-2000,,,,1257.95,
21-March-2000,,,,1218.93,
22-March-2000,,,,1189.68,
23-March-2000,,,,1161.46,
24-March-2000,,,,1161.01,
27-March-2000,,,,1137.90,
28-March-2000,,,,1142.31,
29-March-2000,,,,1125.90,
30-March-2000,,,,1135.81,
31-March-2000,,,,1131.00,
3-April-2000,,,,1190.32,
4-April-2000,,,,1110.17,
5-April-2000,,,,1123.65,
6-April-2000,,,,1118.21,
7-April-2000,,,,1191.85,
10-April-2000,,,,1192.94,
11-April-2000,,,,1188.66,
12-April-2000,,,,1161.15,
13-April-2000,,,,1137.13,
17-April-2000,,,,1086.99,
18-April-2000,,,,1067.71,
19-April-2000,,,,1066.52,
20-April-2000,,,,1057.74,
24-April-2000,,,,1046.47,
25-April-2000,,,,1018.73,
26-April-2000,,,,1043.39,
27-April-2000,,,,1036.06,
28-April-2000,,,,1014.78,
2-May-2000,,,,943.11,
3-May-2000,,,,944.31,
4-May-2000,,,,1010.72,
5-May-2000,,,,1054.11,
8-May-2000,,,,1001.26,
9-May-2000,,,,1025.75,
10-May-2000,,,,1015.62,
11-May-2000,,,,984.01,
12-May-2000,,,,971.23,
15-May-2000,,,,993.34,
16-May-2000,,,,1001.88,
17-May-2000,,,,1001.04,
18-May-2000,,,,1008.57,
19-May-2000,,,,980.81,
22-May-2000,,,,969.55,
23-May-2000,,,,970.12,
24-May-2000,,,,964.86,
25-May-2000,,,,985.30,
26-May-2000,,,,1071.63,
29-May-2000,,,,1095.43,
30-May-2000,,,,1112.05,
31-May-2000,,,,1112.68,
1-June-2000,,,,1080.70,
2-June-2000,,,,1093.55,
5-June-2000,,,,1096.49,
6-June-2000,,,,1100.59,
7-June-2000,,,,1099.25,
8-June-2000,,,,1113.33,
9-June-2000,,,,1108.64,
12-June-2000,,,,1089.27,
13-June-2000,,,,1079.02,
14-June-2000,,,,1092.60,
15-June-2000,,,,1081.81,
16-June-2000,,,,1083.73,
19-June-2000,,,,1105.47,
20-June-2000,,,,1108.74,
21-June-2000,,,,1111.83,
22-June-2000,,,,1134.45,
23-June-2000,,,,1167.21,
26-June-2000,,,,1154.78,
27-June-2000,,,,1170.84,
28-June-2000,,,,1200.97,
29-June-2000,,,,1209.85,
30-June-2000,,,,1194.91,
3-July-2000,,,,1185.23,
4-July-2000,,,,1200.67,
5-July-2000,,,,1204.51,
6-July-2000,,,,1193.59,
7-July-2000,,,,1194.15,
10-July-2000,,,,1200.44,
11-July-2000,,,,1204.55,
12-July-2000,,,,1220.46,
13-July-2000,,,,1234.85,
14-July-2000,,,,1255.95,
17-July-2000,,,,1201.83,
18-July-2000,,,,1210.04,
19-July-2000,,,,1174.17,
20-July-2000,,,,1143.01,
21-July-2000,,,,1130.34,
24-July-2000,,,,1070.48,
25-July-2000,,,,1085.43,
26-July-2000,,,,1083.02,
27-July-2000,,,,1081.38,
28-July-2000,,,,1078.54,
31-July-2000,,,,1094.70,
1-August-2000,,,,1089.93,
2-August-2000,,,,1091.70,
3-August-2000,,,,1077.87,
4-August-2000,,,,1116.16,
7-August-2000,,,,1117.43,
8-August-2000,,,,1108.73,
9-August-2000,,,,1083.18,
10-August-2000,,,,1081.21,
11-August-2000,,,,1058.53,
14-August-2000,,,,1078.25,
16-August-2000,,,,1099.30,
17-August-2000,,,,1091.79,
18-August-2000,,,,1090.07,
21-August-2000,,,,1095.95,
22-August-2000,,,,1087.34,
23-August-2000,,,,1095.50,
24-August-2000,,,,1086.44,
25-August-2000,,,,1084.14,
28-August-2000,,,,1088.01,
29-August-2000,,,,1083.42,
30-August-2000,,,,1079.40,
31-August-2000,,,,1082.32,
4-September-2000,,,,1100.94,
5-September-2000,,,,1101.95,
6-September-2000,,,,1120.67,
7-September-2000,,,,1124.65,
8-September-2000,,,,1115.11,
11-September-2000,,,,1123.34,
12-September-2000,,,,1149.62,
13-September-2000,,,,1139.63,
14-September-2000,,,,1128.07,
15-September-2000,,,,1111.99,
18-September-2000,,,,1092.48,
19-September-2000,,,,1070.79,
20-September-2000,,,,1074.59,
21-September-2000,,,,1075.70,
22-September-2000,,,,1020.15,
25-September-2000,,,,1020.08,
26-September-2000,,,,1009.77,
27-September-2000,,,,1012.10,
28-September-2000,,,,971.52,
29-September-2000,,,,991.48,
3-October-2000,,,,994.58,
4-October-2000,,,,1006.41,
5-October-2000,,,,1004.85,
6-October-2000,,,,1007.71,
9-October-2000,,,,980.44,
10-October-2000,,,,939.54,
11-October-2000,,,,935.39,
12-October-2000,,,,951.49,
13-October-2000,,,,936.34,
16-October-2000,,,,917.53,
17-October-2000,,,,902.00,
18-October-2000,,,,897.89,
19-October-2000,,,,913.77,
20-October-2000,,,,901.06,
23-October-2000,,,,893.78,
24-October-2000,,,,893.17,
25-October-2000,,,,904.03,
26-October-2000,,,,913.27,
27-October-2000,,,,896.92,
30-October-2000,,,,905.45,
31-October-2000,,,,918.45,
1-November-2000,,,,931.62,
2-November-2000,,,,947.93,
3-November-2000,,,,954.20,
6-November-2000,,,,938.84,
7-November-2000,,,,941.13,
8-November-2000,,,,956.20,
9-November-2000,,,,957.95,
10-November-2000,,,,942.83,
13-November-2000,,,,932.70,
14-November-2000,,,,943.68,
15-November-2000,,,,948.19,
16-November-2000,,,,931.46,
17-November-2000,,,,934.03,
