Date,Open,High,Low,Close
3-January-2000,,,,1865.10,
4-January-2000,,,,1854.09,
5-January-2000,,,,1899.13,
6-January-2000,,,,2006.98,
7-January-2000,,,,2037.91,
10-January-2000,,,,2080.29,
11-January-2000,,,,1977.46,
12-January-2000,,,,1960.32,
13-January-2000,,,,1920.13,
14-January-2000,,,,1897.45,
17-January-2000,,,,1928.46,
18-January-2000,,,,1937.36,
19-January-2000,,,,1944.49,
20-January-2000,,,,1950.72,
21-January-2000,,,,1924.38,
24-January-2000,,,,1855.20,
25-January-2000,,,,1830.82,
27-January-2000,,,,1819.39,
28-January-2000,,,,1768.04,
31-January-2000,,,,1669.31,
1-February-2000,,,,1674.43,
2-February-2000,,,,1719.70,
3-February-2000,,,,1753.51,
4-February-2000,,,,1751.61,
7-February-2000,,,,1774.48,
8-February-2000,,,,1737.36,
9-February-2000,,,,1739.45,
10-February-2000,,,,1725.49,
11-February-2000,,,,1715.60,
14-February-2000,,,,1682.68,
15-February-2000,,,,1673.15,
16-February-2000,,,,1704.58,
17-February-2000,,,,1720.81,
18-February-2000,,,,1663.30,
21-February-2000,,,,1638.47,
22-February-2000,,,,1619.86,
23-February-2000,,,,1595.98,
24-February-2000,,,,1586.44,
25-February-2000,,,,1539.85,
28-February-2000,,,,1634.19,
29-February-2000,,,,1552.47,
1-March-2000,,,,1550.15,
2-March-2000,,,,1472.66,
3-March-2000,,,,1362.40,
6-March-2000,,,,1359.46,
7-March-2000,,,,1293.26,
8-March-2000,,,,1253.29,
9-March-2000,,,,1256.29,
10-March-2000,,,,1255.15,
13-March-2000,,,,1249.11,
14-March-2000,,,,1258.09,
15-March-2000,,,,1313.59,
16-March-2000,,,,1337.65,
21-March-2000,,,,1330.83,
22-March-2000,,,,1346.04,
23-March-2000,,,,1335.30,
24-March-2000,,,,1370.06,
27-March-2000,,,,1379.04,
28-March-2000,,,,1347.58,
29-March-2000,,,,1345.52,
30-March-2000,,,,1363.29,
31-March-2000,,,,1391.06,
3-April-2000,,,,1394.59,
4-April-2000,,,,1292.29,
5-April-2000,,,,1326.76,
6-April-2000,,,,1319.81,
7-April-2000,,,,1407.83,
10-April-2000,,,,1406.38,
11-April-2000,,,,1415.66,
12-April-2000,,,,1411.05,
13-April-2000,,,,1379.71,
17-April-2000,,,,1338.50,
18-April-2000,,,,1328.92,
