Date,Open,High,Low,Close
3-January-2005,,,,1000.00,
4-January-2005,,,,997.22,
5-January-2005,,,,962.83,
6-January-2005,,,,945.92,
7-January-2005,,,,943.52,
10-January-2005,,,,939.13,
11-January-2005,,,,926.94,
12-January-2005,,,,899.89,
13-January-2005,,,,920.66,
14-January-2005,,,,902.42,
17-January-2005,,,,909.04,
18-January-2005,,,,913.20,
19-January-2005,,,,907.69,
20-January-2005,,,,895.54,
24-January-2005,,,,884.64,
25-January-2005,,,,897.97,
27-January-2005,,,,910.23,
28-January-2005,,,,937.14,
31-January-2005,,,,970.51,
1-February-2005,,,,987.16,
2-February-2005,,,,1009.23,
3-February-2005,,,,1029.30,
4-February-2005,,,,1026.95,
7-February-2005,,,,1027.26,
8-February-2005,,,,1033.77,
9-February-2005,,,,1044.29,
10-February-2005,,,,1051.19,
11-February-2005,,,,1058.21,
14-February-2005,,,,1065.78,
15-February-2005,,,,1065.48,
16-February-2005,,,,1061.31,
17-February-2005,,,,1061.67,
18-February-2005,,,,1063.78,
21-February-2005,,,,1056.28,
22-February-2005,,,,1055.93,
23-February-2005,,,,1066.23,
24-February-2005,,,,1070.93,
25-February-2005,,,,1061.28,
28-February-2005,,,,1071.63,
1-March-2005,,,,1062.49,
2-March-2005,,,,1067.83,
3-March-2005,,,,1079.10,
4-March-2005,,,,1089.81,
7-March-2005,,,,1085.84,
8-March-2005,,,,1089.90,
9-March-2005,,,,1074.27,
10-March-2005,,,,1071.82,
11-March-2005,,,,1067.26,
14-March-2005,,,,1058.98,
15-March-2005,,,,1043.26,
16-March-2005,,,,1034.28,
17-March-2005,,,,1022.38,
18-March-2005,,,,1022.19,
21-March-2005,,,,1017.86,
22-March-2005,,,,996.09,
23-March-2005,,,,980.44,
24-March-2005,,,,975.69,
28-March-2005,,,,989.10,
29-March-2005,,,,973.28,
30-March-2005,,,,984.94,
31-March-2005,,,,992.64,
1-April-2005,,,,1017.70,
4-April-2005,,,,1006.80,
5-April-2005,,,,1001.43,
6-April-2005,,,,1004.44,
7-April-2005,,,,999.74,
8-April-2005,,,,994.72,
11-April-2005,,,,991.91,
12-April-2005,,,,1002.04,
13-April-2005,,,,1007.12,
15-April-2005,,,,994.44,
18-April-2005,,,,979.97,
19-April-2005,,,,977.78,
20-April-2005,,,,986.93,
21-April-2005,,,,1007.29,
22-April-2005,,,,1015.41,
25-April-2005,,,,1018.99,
26-April-2005,,,,1019.54,
27-April-2005,,,,1010.80,
28-April-2005,,,,992.16,
29-April-2005,,,,982.45,
2-May-2005,,,,983.27,
3-May-2005,,,,991.93,
4-May-2005,,,,1001.24,
5-May-2005,,,,1006.23,
6-May-2005,,,,1008.64,
9-May-2005,,,,1023.44,
10-May-2005,,,,1024.10,
11-May-2005,,,,1023.45,
12-May-2005,,,,1024.11,
13-May-2005,,,,1026.44,
16-May-2005,,,,1037.57,
17-May-2005,,,,1026.55,
18-May-2005,,,,1024.45,
19-May-2005,,,,1023.21,
20-May-2005,,,,1023.74,
23-May-2005,,,,1033.46,
24-May-2005,,,,1033.55,
25-May-2005,,,,1034.94,
26-May-2005,,,,1044.34,
27-May-2005,,,,1040.11,
30-May-2005,,,,1041.57,
31-May-2005,,,,1050.65,
1-June-2005,,,,1050.69,
2-June-2005,,,,1036.76,
3-June-2005,,,,1045.46,
4-June-2005,,,,1048.98,
6-June-2005,,,,1063.69,
7-June-2005,,,,1070.18,
8-June-2005,,,,1080.76,
9-June-2005,,,,1083.77,
10-June-2005,,,,1074.31,
13-June-2005,,,,1075.17,
14-June-2005,,,,1072.03,
15-June-2005,,,,1078.79,
16-June-2005,,,,1069.56,
17-June-2005,,,,1062.33,
20-June-2005,,,,1070.69,
21-June-2005,,,,1073.32,
22-June-2005,,,,1075.79,
23-June-2005,,,,1073.57,
24-June-2005,,,,1079.97,
27-June-2005,,,,1082.76,
28-June-2005,,,,1063.50,
29-June-2005,,,,1069.36,
30-June-2005,,,,1070.92,
1-July-2005,,,,1084.31,
4-July-2005,,,,1102.52,
