Date,Open,High,Low,Close
3-January-2000,,,,1488.96,
4-January-2000,,,,1502.34,
5-January-2000,,,,1508.53,
6-January-2000,,,,1522.17,
7-January-2000,,,,1501.13,
10-January-2000,,,,1530.75,
11-January-2000,,,,1466.07,
12-January-2000,,,,1488.30,
13-January-2000,,,,1452.04,
14-January-2000,,,,1457.71,
17-January-2000,,,,1470.66,
18-January-2000,,,,1452.64,
19-January-2000,,,,1434.28,
20-January-2000,,,,1424.79,
21-January-2000,,,,1419.52,
24-January-2000,,,,1411.40,
25-January-2000,,,,1394.14,
27-January-2000,,,,1422.88,
28-January-2000,,,,1436.64,
31-January-2000,,,,1431.54,
1-February-2000,,,,1444.99,
2-February-2000,,,,1463.63,
3-February-2000,,,,1479.22,
4-February-2000,,,,1479.72,
7-February-2000,,,,1515.95,
8-February-2000,,,,1524.82,
9-February-2000,,,,1552.17,
10-February-2000,,,,1587.48,
11-February-2000,,,,1540.40,
14-February-2000,,,,1500.34,
15-February-2000,,,,1453.11,
16-February-2000,,,,1444.97,
17-February-2000,,,,1464.12,
18-February-2000,,,,1393.47,
21-February-2000,,,,1409.99,
22-February-2000,,,,1375.62,
23-February-2000,,,,1380.85,
24-February-2000,,,,1374.02,
25-February-2000,,,,1320.09,
28-February-2000,,,,1387.60,
29-February-2000,,,,1324.00,
1-March-2000,,,,1366.01,
2-March-2000,,,,1314.34,
3-March-2000,,,,1229.56,
6-March-2000,,,,1263.31,
7-March-2000,,,,1232.45,
8-March-2000,,,,1226.46,
9-March-2000,,,,1184.06,
10-March-2000,,,,1171.66,
13-March-2000,,,,1155.55,
14-March-2000,,,,1177.43,
15-March-2000,,,,1174.64,
16-March-2000,,,,1163.17,
21-March-2000,,,,1172.02,
22-March-2000,,,,1202.14,
23-March-2000,,,,1186.67,
24-March-2000,,,,1158.10,
27-March-2000,,,,1154.39,
28-March-2000,,,,1142.03,
29-March-2000,,,,1137.15,
30-March-2000,,,,1111.46,
31-March-2000,,,,1114.64,
