Date,Open,High,Low,Close
3-January-2000,1143.41,1197.29,1143.41,1196.46,
4-January-2000,1206.74,1208.00,1160.76,1179.47,
5-January-2000,1165.38,1170.73,1139.34,1145.40,
6-January-2000,1159.64,1187.62,1158.69,1174.28,
7-January-2000,1178.12,1178.12,1134.76,1138.47,
10-January-2000,1164.30,1181.22,1160.02,1163.88,
11-January-2000,1171.72,1176.50,1116.05,1121.89,
12-January-2000,1121.01,1134.49,1119.75,1128.09,
13-January-2000,1135.35,1137.88,1104.47,1106.29,
14-January-2000,1106.92,1111.12,1094.10,1109.20,
17-January-2000,1129.91,1139.69,1119.43,1119.68,
18-January-2000,1121.87,1133.33,1116.50,1124.96,
19-January-2000,1128.60,1159.76,1125.80,1149.91,
20-January-2000,1153.11,1155.57,1126.74,1129.06,
21-January-2000,1126.04,1128.41,1110.06,1121.50,
24-January-2000,1125.55,1128.16,1096.53,1096.84,
25-January-2000,1101.11,1102.18,1085.12,1092.21,
27-January-2000,1097.68,1107.18,1084.28,1090.40,
28-January-2000,1089.50,1089.50,1069.21,1075.23,
31-January-2000,1079.78,1083.01,1038.44,1038.44,
1-February-2000,1038.17,1062.29,1034.47,1062.19,
2-February-2000,1069.20,1090.81,1063.89,1073.80,
3-February-2000,1085.05,1088.37,1069.67,1075.14,
4-February-2000,1077.03,1079.57,1043.96,1044.52,
7-February-2000,1051.98,1063.28,1041.30,1043.77,
8-February-2000,1044.78,1047.03,1023.84,1035.65,
9-February-2000,1040.53,1043.09,1009.95,1010.12,
10-February-2000,1013.46,1013.46,995.26,998.37,
11-February-2000,1007.14,1007.14,985.95,987.73,
14-February-2000,995.27,1003.70,977.13,977.91,
15-February-2000,980.85,986.87,955.82,958.76,
16-February-2000,962.53,967.14,937.16,949.97,
17-February-2000,949.73,961.40,947.67,951.56,
18-February-2000,947.95,948.63,906.81,906.81,
21-February-2000,920.66,936.69,920.66,931.17,
22-February-2000,937.51,940.43,908.50,910.89,
23-February-2000,913.18,919.72,885.49,889.73,
24-February-2000,896.94,908.16,883.44,900.02,
25-February-2000,903.59,903.59,863.27,869.99,
28-February-2000,876.46,907.88,876.43,905.23,
29-February-2000,913.63,937.29,869.69,872.50,
1-March-2000,871.76,886.98,864.42,875.06,
2-March-2000,880.60,882.22,835.11,838.27,
3-March-2000,812.36,815.03,783.37,784.84,
6-March-2000,794.17,806.64,785.71,794.22,
7-March-2000,798.24,798.24,762.66,769.71,
8-March-2000,769.77,777.59,745.28,753.40,
9-March-2000,756.59,756.59,719.32,730.00,
10-March-2000,734.00,734.91,711.35,720.38,
13-March-2000,727.30,729.95,714.73,718.95,
14-March-2000,721.70,737.12,716.52,735.21,
15-March-2000,735.33,755.40,734.01,748.61,
16-March-2000,749.89,749.89,726.08,728.20,
21-March-2000,733.24,751.45,733.24,744.51,
22-March-2000,750.61,764.93,746.46,749.49,
23-March-2000,752.20,752.20,724.19,725.15,
24-March-2000,718.77,719.42,706.54,714.26,
27-March-2000,721.13,740.58,720.02,729.15,
28-March-2000,726.06,736.17,720.30,736.01,
29-March-2000,739.25,739.25,727.63,728.89,
30-March-2000,725.78,725.78,703.77,713.33,
31-March-2000,710.30,718.53,698.92,717.39,
3-April-2000,721.18,744.70,721.18,738.35,
4-April-2000,737.17,737.43,697.01,702.67,
5-April-2000,700.73,715.22,697.91,710.07,
6-April-2000,715.03,718.96,682.53,694.36,
7-April-2000,699.32,728.66,698.72,728.11,
10-April-2000,732.35,760.08,732.35,751.94,
11-April-2000,748.77,752.44,742.03,749.98,
12-April-2000,751.83,760.16,744.93,745.45,
13-April-2000,737.28,737.28,725.71,731.88,
17-April-2000,720.48,721.12,705.88,715.96,
18-April-2000,726.53,726.65,704.22,706.66,
19-April-2000,713.52,717.23,687.15,689.49,
20-April-2000,687.14,687.14,656.10,673.06,
24-April-2000,678.23,679.28,657.57,658.50,
25-April-2000,652.92,654.17,630.18,653.03,
26-April-2000,658.46,681.38,658.46,681.38,
27-April-2000,680.11,682.63,668.19,668.42,
28-April-2000,669.25,669.93,656.72,663.22,
2-May-2000,669.99,670.85,642.71,649.00,
3-May-2000,641.51,660.02,630.77,657.08,
4-May-2000,658.52,669.83,657.06,667.86,
5-May-2000,669.22,683.26,666.17,682.11,
8-May-2000,689.60,692.59,678.08,678.71,
