Date,Open,High,Low,Close
3-January-2000,1438.13,1534.72,1438.13,1526.33,
4-January-2000,1554.68,1561.81,1505.88,1517.65,
5-January-2000,1505.78,1514.07,1465.19,1470.10,
6-January-2000,1488.08,1537.84,1479.48,1531.15,
7-January-2000,1551.10,1551.10,1481.50,1497.40,
10-January-2000,1528.31,1574.76,1528.31,1547.76,
11-January-2000,1580.49,1587.23,1505.47,1526.53,
12-January-2000,1519.89,1530.72,1493.49,1505.80,
13-January-2000,1513.17,1527.62,1490.87,1492.55,
14-January-2000,1493.88,1493.96,1442.55,1477.22,
17-January-2000,1491.46,1528.00,1491.46,1504.45,
18-January-2000,1513.03,1514.42,1480.93,1503.57,
19-January-2000,1520.19,1546.93,1512.05,1541.16,
20-January-2000,1548.51,1568.80,1520.82,1525.50,
21-January-2000,1522.95,1547.43,1521.06,1545.55,
24-January-2000,1562.03,1586.40,1517.31,1517.43,
25-January-2000,1515.08,1524.89,1496.67,1508.92,
27-January-2000,1511.15,1530.13,1502.66,1521.51,
28-January-2000,1531.52,1550.81,1524.44,1545.96,
31-January-2000,1552.49,1581.53,1505.02,1506.24,
1-February-2000,1508.84,1554.26,1503.24,1552.97,
2-February-2000,1580.66,1603.40,1580.66,1586.22,
3-February-2000,1615.33,1621.89,1587.45,1612.33,
4-February-2000,1632.59,1643.09,1580.06,1603.44,
7-February-2000,1636.09,1664.94,1626.32,1651.89,
8-February-2000,1657.19,1659.41,1638.63,1648.97,
9-February-2000,1657.20,1669.39,1622.59,1630.53,
10-February-2000,1623.24,1642.41,1608.46,1641.48,
11-February-2000,1651.53,1659.19,1576.21,1578.33,
14-February-2000,1596.64,1637.21,1590.69,1605.10,
15-February-2000,1625.46,1631.03,1580.50,1598.18,
16-February-2000,1607.54,1649.27,1604.05,1641.17,
17-February-2000,1669.29,1740.44,1669.29,1737.30,
18-February-2000,1760.53,1762.74,1704.23,1705.60,
21-February-2000,1743.36,1777.87,1743.36,1769.09,
22-February-2000,1806.93,1815.86,1733.43,1736.44,
23-February-2000,1747.69,1773.46,1654.36,1666.68,
24-February-2000,1665.20,1704.65,1631.84,1649.34,
25-February-2000,1659.36,1666.95,1585.97,1595.65,
28-February-2000,1609.89,1650.00,1582.86,1647.66,
29-February-2000,1669.64,1676.53,1551.78,1565.88,
1-March-2000,1567.64,1637.12,1521.69,1634.58,
2-March-2000,1635.23,1678.90,1601.71,1604.47,
3-March-2000,1604.15,1605.47,1531.72,1548.28,
6-March-2000,1565.03,1610.82,1544.09,1556.19,
7-March-2000,1575.75,1586.34,1484.16,1502.91,
8-March-2000,1498.66,1509.16,1415.32,1418.67,
9-March-2000,1424.17,1429.04,1315.43,1319.61,
10-March-2000,1300.82,1300.82,1245.08,1246.39,
13-March-2000,1245.21,1258.71,1198.05,1201.86,
14-March-2000,1204.32,1241.99,1192.86,1231.93,
15-March-2000,1228.79,1275.86,1218.88,1263.80,
16-March-2000,1267.29,1277.40,1216.95,1218.75,
21-March-2000,1303.76,1321.17,1196.92,1210.01,
22-March-2000,1211.31,1238.66,1206.33,1217.28,
23-March-2000,1219.35,1223.03,1173.53,1175.44,
24-March-2000,1157.06,1170.67,1155.09,1166.23,
27-March-2000,1183.52,1210.54,1182.87,1190.64,
28-March-2000,1199.90,1225.49,1186.89,1224.90,
29-March-2000,1236.81,1244.42,1222.43,1222.43,
30-March-2000,1219.63,1219.63,1174.32,1190.89,
31-March-2000,1188.87,1194.58,1164.87,1191.20,
3-April-2000,1199.13,1216.70,1193.21,1194.31,
4-April-2000,1191.41,1191.41,1108.53,1110.65,
5-April-2000,1109.97,1121.34,1093.49,1101.58,
6-April-2000,1106.07,1110.60,1046.94,1067.84,
7-April-2000,1072.78,1143.27,1072.78,1142.07,
10-April-2000,1156.40,1188.08,1156.40,1174.08,
11-April-2000,1159.08,1165.28,1140.45,1165.28,
12-April-2000,1163.85,1173.34,1160.40,1168.40,
13-April-2000,1156.72,1156.89,1116.67,1121.48,
17-April-2000,1100.68,1105.32,1082.29,1100.64,
18-April-2000,1106.86,1113.97,1096.11,1101.16,
19-April-2000,1103.06,1110.68,1075.40,1082.54,
20-April-2000,1079.68,1079.68,1030.33,1054.85,
24-April-2000,1062.97,1062.97,1037.67,1040.07,
25-April-2000,1034.52,1034.52,989.67,1008.39,
26-April-2000,1006.59,1053.89,1006.59,1051.84,
27-April-2000,1040.66,1040.66,1014.33,1015.70,
28-April-2000,1005.80,1008.26,975.00,975.00,
2-May-2000,968.65,971.63,923.21,928.80,
3-May-2000,916.44,925.15,892.00,920.14,
4-May-2000,923.11,940.93,921.10,940.81,
5-May-2000,939.23,953.55,936.23,945.61,
8-May-2000,948.83,957.64,924.37,930.73,
9-May-2000,930.32,930.32,906.45,921.50,
10-May-2000,923.34,924.65,903.25,904.79,
11-May-2000,903.46,903.46,865.51,869.00,
12-May-2000,870.31,870.31,826.43,829.90,
15-May-2000,834.58,838.06,817.09,828.02,
16-May-2000,828.70,834.76,826.34,832.25,
17-May-2000,833.96,869.97,833.96,860.60,
18-May-2000,860.33,861.97,844.38,855.41,
19-May-2000,854.28,858.21,834.26,839.14,
22-May-2000,837.21,840.65,825.89,826.56,
23-May-2000,825.38,828.57,805.84,813.24,
24-May-2000,813.99,826.07,808.10,822.37,
25-May-2000,821.22,843.54,821.22,835.19,
26-May-2000,835.75,840.01,820.69,839.65,
29-May-2000,840.53,880.75,840.53,878.88,
30-May-2000,880.66,895.09,879.20,894.50,
31-May-2000,895.31,922.78,895.31,912.16,
1-June-2000,912.20,913.11,886.11,888.63,
2-June-2000,888.33,903.84,881.17,882.61,
5-June-2000,887.56,928.82,886.77,907.49,
6-June-2000,909.71,913.95,890.96,894.63,
7-June-2000,897.04,905.58,888.57,894.70,
8-June-2000,895.93,904.10,886.50,895.05,
9-June-2000,898.17,900.39,885.38,892.84,
12-June-2000,895.66,920.33,893.72,915.76,
13-June-2000,917.74,952.69,904.96,947.66,
14-June-2000,954.93,961.81,935.19,938.29,
