Date,Open,High,Low,Close
3-January-2000,,,,2246.26,
4-January-2000,,,,2285.99,
5-January-2000,,,,2194.35,
6-January-2000,,,,2183.91,
7-January-2000,,,,2114.89,
10-January-2000,,,,2141.82,
11-January-2000,,,,2065.81,
12-January-2000,,,,2109.17,
13-January-2000,,,,2098.19,
14-January-2000,,,,2104.18,
17-January-2000,,,,2121.70,
18-January-2000,,,,2123.54,
19-January-2000,,,,2143.93,
20-January-2000,,,,2124.40,
21-January-2000,,,,2126.87,
24-January-2000,,,,2136.92,
25-January-2000,,,,2094.73,
27-January-2000,,,,2069.21,
28-January-2000,,,,2057.22,
31-January-2000,,,,2035.03,
1-February-2000,,,,2056.21,
2-February-2000,,,,2098.48,
3-February-2000,,,,2073.28,
4-February-2000,,,,2040.25,
7-February-2000,,,,2042.60,
8-February-2000,,,,2040.28,
9-February-2000,,,,2012.71,
10-February-2000,,,,2006.22,
11-February-2000,,,,1974.11,
14-February-2000,,,,1930.59,
15-February-2000,,,,1902.09,
16-February-2000,,,,1886.33,
17-February-2000,,,,2013.70,
18-February-2000,,,,1991.41,
21-February-2000,,,,2009.10,
22-February-2000,,,,1974.13,
23-February-2000,,,,1921.50,
24-February-2000,,,,1938.16,
25-February-2000,,,,1880.49,
28-February-2000,,,,1948.16,
29-February-2000,,,,1832.09,
1-March-2000,,,,1780.02,
2-March-2000,,,,1673.53,
3-March-2000,,,,1560.02,
6-March-2000,,,,1570.24,
7-March-2000,,,,1529.21,
8-March-2000,,,,1504.07,
9-March-2000,,,,1477.14,
10-March-2000,,,,1493.68,
13-March-2000,,,,1571.57,
14-March-2000,,,,1641.66,
15-March-2000,,,,1637.03,
16-March-2000,,,,1575.28,
21-March-2000,,,,1604.80,
22-March-2000,,,,1638.75,
23-March-2000,,,,1612.14,
24-March-2000,,,,1595.03,
27-March-2000,,,,1607.44,
28-March-2000,,,,1587.00,
29-March-2000,,,,1557.61,
30-March-2000,,,,1557.70,
31-March-2000,,,,1617.83,
3-April-2000,,,,1613.92,
4-April-2000,,,,1508.52,
5-April-2000,,,,1513.58,
6-April-2000,,,,1482.50,
7-April-2000,,,,1582.15,
10-April-2000,,,,1656.15,
11-April-2000,,,,1635.29,
12-April-2000,,,,1614.71,
13-April-2000,,,,1575.87,
17-April-2000,,,,1474.41,
18-April-2000,,,,1472.48,
19-April-2000,,,,1429.74,
20-April-2000,,,,1392.47,
24-April-2000,,,,1352.27,
25-April-2000,,,,1307.99,
26-April-2000,,,,1364.99,
27-April-2000,,,,1326.13,
28-April-2000,,,,1298.96,
2-May-2000,,,,1200.42,
3-May-2000,,,,1250.46,
4-May-2000,,,,1295.71,
5-May-2000,,,,1317.56,
8-May-2000,,,,1304.48,
9-May-2000,,,,1301.16,
10-May-2000,,,,1281.37,
11-May-2000,,,,1241.72,
12-May-2000,,,,1207.49,
15-May-2000,,,,1206.93,
16-May-2000,,,,1237.02,
17-May-2000,,,,1228.25,
18-May-2000,,,,1213.71,
19-May-2000,,,,1211.84,
22-May-2000,,,,1187.94,
23-May-2000,,,,1153.69,
24-May-2000,,,,1153.99,
25-May-2000,,,,1157.82,
26-May-2000,,,,1176.54,
29-May-2000,,,,1219.57,
30-May-2000,,,,1262.47,
31-May-2000,,,,1282.90,
1-June-2000,,,,1260.83,
2-June-2000,,,,1289.20,
5-June-2000,,,,1288.22,
6-June-2000,,,,1287.34,
7-June-2000,,,,1278.93,
8-June-2000,,,,1291.57,
9-June-2000,,,,1279.14,
12-June-2000,,,,1272.08,
13-June-2000,,,,1271.44,
14-June-2000,,,,1280.05,
15-June-2000,,,,1292.62,
16-June-2000,,,,1298.50,
19-June-2000,,,,1324.97,
20-June-2000,,,,1406.94,
21-June-2000,,,,1333.54,
22-June-2000,,,,1336.93,
23-June-2000,,,,1301.55,
26-June-2000,,,,1306.84,
27-June-2000,,,,1301.34,
28-June-2000,,,,1312.95,
29-June-2000,,,,1324.81,
30-June-2000,,,,1312.62,
3-July-2000,,,,1339.12,
4-July-2000,,,,1388.69,
5-July-2000,,,,1369.83,
6-July-2000,,,,1382.86,
7-July-2000,,,,1392.95,
10-July-2000,,,,1394.76,
11-July-2000,,,,1371.77,
12-July-2000,,,,1339.89,
13-July-2000,,,,1348.02,
14-July-2000,,,,1348.58,
17-July-2000,,,,1373.14,
18-July-2000,,,,1361.36,
19-July-2000,,,,1325.62,
20-July-2000,,,,1324.70,
21-July-2000,,,,1302.04,
24-July-2000,,,,1250.20,
25-July-2000,,,,1274.60,
26-July-2000,,,,1285.70,
27-July-2000,,,,1293.59,
28-July-2000,,,,1281.66,
31-July-2000,,,,1302.66,
1-August-2000,,,,1297.12,
2-August-2000,,,,1283.22,
3-August-2000,,,,1298.00,
4-August-2000,,,,1286.60,
7-August-2000,,,,1272.04,
8-August-2000,,,,1281.09,
9-August-2000,,,,1287.29,
10-August-2000,,,,1280.57,
11-August-2000,,,,1273.01,
14-August-2000,,,,1273.13,
16-August-2000,,,,1296.08,
17-August-2000,,,,1285.38,
18-August-2000,,,,1290.89,
21-August-2000,,,,1308.63,
22-August-2000,,,,1327.48,
23-August-2000,,,,1328.92,
24-August-2000,,,,1347.55,
25-August-2000,,,,1375.42,
28-August-2000,,,,1371.03,
29-August-2000,,,,1374.34,
30-August-2000,,,,1377.10,
31-August-2000,,,,1373.84,
4-September-2000,,,,1382.26,
5-September-2000,,,,1381.17,
6-September-2000,,,,1383.65,
7-September-2000,,,,1405.99,
8-September-2000,,,,1416.18,
11-September-2000,,,,1420.42,
12-September-2000,,,,1401.18,
13-September-2000,,,,1382.32,
14-September-2000,,,,1373.27,
15-September-2000,,,,1333.06,
18-September-2000,,,,1301.51,
19-September-2000,,,,1286.54,
20-September-2000,,,,1297.29,
21-September-2000,,,,1283.18,
22-September-2000,,,,1229.37,
25-September-2000,,,,1273.78,
26-September-2000,,,,1251.82,
27-September-2000,,,,1256.17,
28-September-2000,,,,1241.98,
29-September-2000,,,,1233.75,
3-October-2000,,,,1223.78,
4-October-2000,,,,1257.16,
5-October-2000,,,,1270.81,
6-October-2000,,,,1276.02,
9-October-2000,,,,1271.43,
10-October-2000,,,,1264.51,
11-October-2000,,,,1232.68,
12-October-2000,,,,1230.80,
13-October-2000,,,,1231.98,
16-October-2000,,,,1260.15,
17-October-2000,,,,1254.48,
18-October-2000,,,,1242.90,
19-October-2000,,,,1250.64,
20-October-2000,,,,1256.04,
23-October-2000,,,,1239.99,
24-October-2000,,,,1239.68,
25-October-2000,,,,1314.82,
26-October-2000,,,,1336.87,
27-October-2000,,,,1338.59,
