Date,Open,High,Low,Close
3-January-2000,,,,4260.20,
4-January-2000,,,,4554.08,
5-January-2000,,,,4342.29,
6-January-2000,,,,4160.10,
7-January-2000,,,,3828.79,
10-January-2000,,,,3885.57,
11-January-2000,,,,3640.97,
12-January-2000,,,,3712.86,
13-January-2000,,,,3600.98,
14-January-2000,,,,3608.53,
17-January-2000,,,,3698.32,
18-January-2000,,,,3773.24,
19-January-2000,,,,3894.24,
20-January-2000,,,,3888.73,
21-January-2000,,,,4109.98,
24-January-2000,,,,4290.70,
25-January-2000,,,,4466.70,
27-January-2000,,,,4620.09,
28-January-2000,,,,4837.67,
31-January-2000,,,,4694.31,
1-February-2000,,,,4930.16,
2-February-2000,,,,5158.37,
3-February-2000,,,,5406.19,
4-February-2000,,,,5663.33,
7-February-2000,,,,5760.75,
8-February-2000,,,,5682.46,
9-February-2000,,,,5792.45,
10-February-2000,,,,6128.04,
11-February-2000,,,,6506.73,
14-February-2000,,,,6884.86,
15-February-2000,,,,7018.71,
16-February-2000,,,,7309.76,
17-February-2000,,,,7751.27,
18-February-2000,,,,8073.25,
21-February-2000,,,,8613.53,
22-February-2000,,,,8283.88,
23-February-2000,,,,7692.92,
24-February-2000,,,,7427.26,
25-February-2000,,,,6933.41,
28-February-2000,,,,6896.20,
29-February-2000,,,,6637.63,
1-March-2000,,,,7159.11,
2-March-2000,,,,7479.85,
3-March-2000,,,,7342.14,
6-March-2000,,,,7690.69,
7-March-2000,,,,7685.31,
8-March-2000,,,,7562.99,
9-March-2000,,,,7216.22,
10-March-2000,,,,7103.41,
13-March-2000,,,,6584.52,
14-March-2000,,,,6139.78,
15-March-2000,,,,5968.56,
16-March-2000,,,,5558.89,
21-March-2000,,,,5449.92,
22-March-2000,,,,5815.34,
23-March-2000,,,,5918.66,
24-March-2000,,,,6018.43,
27-March-2000,,,,6257.69,
28-March-2000,,,,6437.74,
29-March-2000,,,,6679.40,
30-March-2000,,,,6202.86,
31-March-2000,,,,5749.37,
3-April-2000,,,,5317.85,
4-April-2000,,,,4901.54,
5-April-2000,,,,4868.48,
6-April-2000,,,,5010.74,
7-April-2000,,,,5410.45,
10-April-2000,,,,5835.53,
11-April-2000,,,,5986.34,
12-April-2000,,,,5817.96,
13-April-2000,,,,5403.99,
17-April-2000,,,,4978.98,
18-April-2000,,,,4651.40,
19-April-2000,,,,4416.93,
20-April-2000,,,,4463.85,
24-April-2000,,,,4257.05,
25-April-2000,,,,4124.49,
26-April-2000,,,,4392.39,
27-April-2000,,,,4191.88,
28-April-2000,,,,4044.25,
2-May-2000,,,,3682.89,
3-May-2000,,,,3460.08,
4-May-2000,,,,3779.01,
5-May-2000,,,,4072.39,
8-May-2000,,,,3693.74,
9-May-2000,,,,3884.57,
10-May-2000,,,,3721.50,
11-May-2000,,,,3419.22,
12-May-2000,,,,3218.01,
15-May-2000,,,,3304.87,
16-May-2000,,,,3292.91,
17-May-2000,,,,3251.71,
18-May-2000,,,,3107.88,
19-May-2000,,,,2991.55,
22-May-2000,,,,2713.66,
23-May-2000,,,,2804.26,
24-May-2000,,,,2732.24,
25-May-2000,,,,2708.02,
26-May-2000,,,,2531.80,
29-May-2000,,,,2546.55,
30-May-2000,,,,2690.31,
31-May-2000,,,,2954.76,
1-June-2000,,,,2885.78,
2-June-2000,,,,3095.88,
5-June-2000,,,,3297.17,
6-June-2000,,,,3488.82,
7-June-2000,,,,3524.31,
8-June-2000,,,,3603.56,
9-June-2000,,,,3544.58,
12-June-2000,,,,3503.75,
13-June-2000,,,,3482.96,
14-June-2000,,,,3558.65,
15-June-2000,,,,3718.30,
16-June-2000,,,,3915.98,
19-June-2000,,,,4061.08,
