Date,Open,High,Low,Close
3-January-2000,,,,1487.62,
4-January-2000,,,,1481.58,
5-January-2000,,,,1494.55,
6-January-2000,,,,1484.88,
7-January-2000,,,,1459.60,
10-January-2000,,,,1482.32,
11-January-2000,,,,1413.76,
12-January-2000,,,,1445.75,
13-January-2000,,,,1421.13,
14-January-2000,,,,1411.99,
17-January-2000,,,,1415.10,
18-January-2000,,,,1412.62,
19-January-2000,,,,1388.40,
20-January-2000,,,,1392.47,
21-January-2000,,,,1392.05,
24-January-2000,,,,1385.84,
25-January-2000,,,,1363.91,
27-January-2000,,,,1397.84,
28-January-2000,,,,1390.89,
31-January-2000,,,,1392.79,
1-February-2000,,,,1416.16,
2-February-2000,,,,1447.52,
3-February-2000,,,,1436.00,
4-February-2000,,,,1419.28,
7-February-2000,,,,1448.08,
8-February-2000,,,,1429.41,
9-February-2000,,,,1416.70,
10-February-2000,,,,1416.91,
11-February-2000,,,,1344.47,
14-February-2000,,,,1323.11,
15-February-2000,,,,1297.53,
16-February-2000,,,,1300.48,
17-February-2000,,,,1311.04,
18-February-2000,,,,1263.43,
21-February-2000,,,,1272.62,
22-February-2000,,,,1247.35,
23-February-2000,,,,1245.30,
24-February-2000,,,,1223.92,
25-February-2000,,,,1175.59,
28-February-2000,,,,1244.62,
29-February-2000,,,,1217.31,
1-March-2000,,,,1250.32,
2-March-2000,,,,1172.24,
3-March-2000,,,,1103.88,
6-March-2000,,,,1102.07,
7-March-2000,,,,1055.63,
8-March-2000,,,,1030.46,
9-March-2000,,,,1044.14,
10-March-2000,,,,1018.86,
13-March-2000,,,,998.94,
14-March-2000,,,,1051.40,
15-March-2000,,,,1088.94,
16-March-2000,,,,1029.45,
21-March-2000,,,,1029.64,
22-March-2000,,,,1048.86,
23-March-2000,,,,1054.79,
24-March-2000,,,,1046.19,
27-March-2000,,,,1061.10,
28-March-2000,,,,1062.00,
29-March-2000,,,,1055.77,
30-March-2000,,,,1048.72,
31-March-2000,,,,1063.50,
3-April-2000,,,,1090.46,
4-April-2000,,,,1041.17,
5-April-2000,,,,1019.64,
6-April-2000,,,,1014.05,
7-April-2000,,,,1057.03,
10-April-2000,,,,1065.73,
11-April-2000,,,,1058.12,
12-April-2000,,,,1037.92,
13-April-2000,,,,1014.77,
17-April-2000,,,,969.15,
18-April-2000,,,,956.20,
19-April-2000,,,,935.20,
20-April-2000,,,,926.95,
24-April-2000,,,,917.06,
25-April-2000,,,,907.52,
26-April-2000,,,,945.93,
27-April-2000,,,,926.66,
28-April-2000,,,,910.75,
2-May-2000,,,,878.34,
3-May-2000,,,,876.61,
4-May-2000,,,,891.95,
5-May-2000,,,,878.97,
8-May-2000,,,,851.78,
9-May-2000,,,,853.42,
10-May-2000,,,,858.94,
11-May-2000,,,,851.59,
12-May-2000,,,,842.03,
15-May-2000,,,,852.54,
16-May-2000,,,,857.77,
17-May-2000,,,,896.02,
18-May-2000,,,,879.98,
19-May-2000,,,,862.86,
22-May-2000,,,,837.40,
23-May-2000,,,,831.14,
24-May-2000,,,,850.64,
25-May-2000,,,,877.55,
26-May-2000,,,,880.62,
29-May-2000,,,,896.80,
30-May-2000,,,,911.49,
31-May-2000,,,,905.08,
1-June-2000,,,,870.33,
2-June-2000,,,,885.18,
5-June-2000,,,,898.26,
6-June-2000,,,,895.31,
7-June-2000,,,,905.27,
8-June-2000,,,,940.76,
9-June-2000,,,,947.70,
12-June-2000,,,,946.53,
13-June-2000,,,,953.47,
14-June-2000,,,,962.25,
15-June-2000,,,,943.77,
16-June-2000,,,,954.05,
19-June-2000,,,,957.85,
20-June-2000,,,,959.03,
21-June-2000,,,,966.49,
22-June-2000,,,,983.27,
23-June-2000,,,,1002.89,
26-June-2000,,,,993.48,
27-June-2000,,,,985.53,
28-June-2000,,,,985.93,
29-June-2000,,,,983.27,
30-June-2000,,,,963.68,
3-July-2000,,,,974.05,
4-July-2000,,,,976.29,
5-July-2000,,,,986.44,
6-July-2000,,,,993.84,
7-July-2000,,,,996.13,
10-July-2000,,,,997.55,
11-July-2000,,,,1008.47,
12-July-2000,,,,1014.42,
13-July-2000,,,,996.05,
14-July-2000,,,,988.02,
17-July-2000,,,,981.59,
18-July-2000,,,,970.55,
19-July-2000,,,,967.49,
20-July-2000,,,,955.64,
21-July-2000,,,,950.44,
24-July-2000,,,,908.60,
25-July-2000,,,,926.70,
26-July-2000,,,,933.34,
27-July-2000,,,,926.29,
28-July-2000,,,,922.79,
31-July-2000,,,,929.14,
1-August-2000,,,,900.31,
2-August-2000,,,,897.29,
3-August-2000,,,,899.79,
4-August-2000,,,,865.26,
7-August-2000,,,,855.17,
8-August-2000,,,,857.66,
9-August-2000,,,,860.85,
10-August-2000,,,,857.41,
11-August-2000,,,,845.45,
14-August-2000,,,,833.25,
16-August-2000,,,,839.75,
17-August-2000,,,,849.92,
18-August-2000,,,,838.25,
21-August-2000,,,,846.56,
22-August-2000,,,,840.14,
23-August-2000,,,,843.73,
24-August-2000,,,,842.68,
25-August-2000,,,,839.12,
28-August-2000,,,,844.49,
29-August-2000,,,,837.68,
30-August-2000,,,,850.11,
31-August-2000,,,,860.25,
4-September-2000,,,,866.57,
5-September-2000,,,,877.29,
6-September-2000,,,,879.40,
7-September-2000,,,,887.82,
8-September-2000,,,,881.98,
11-September-2000,,,,888.76,
12-September-2000,,,,907.03,
13-September-2000,,,,911.47,
14-September-2000,,,,920.17,
15-September-2000,,,,898.43,
18-September-2000,,,,872.74,
19-September-2000,,,,860.11,
20-September-2000,,,,875.49,
21-September-2000,,,,870.02,
22-September-2000,,,,858.38,
25-September-2000,,,,858.69,
26-September-2000,,,,840.02,
27-September-2000,,,,878.31,
28-September-2000,,,,868.87,
29-September-2000,,,,861.46,
3-October-2000,,,,875.92,
4-October-2000,,,,871.90,
5-October-2000,,,,860.10,
6-October-2000,,,,843.45,
9-October-2000,,,,852.91,
10-October-2000,,,,825.40,
11-October-2000,,,,816.11,
12-October-2000,,,,818.73,
13-October-2000,,,,797.10,
16-October-2000,,,,810.56,
17-October-2000,,,,801.12,
18-October-2000,,,,802.99,
19-October-2000,,,,823.06,
20-October-2000,,,,814.76,
23-October-2000,,,,800.96,
24-October-2000,,,,795.44,
25-October-2000,,,,821.23,
26-October-2000,,,,846.33,
27-October-2000,,,,838.96,
30-October-2000,,,,829.61,
31-October-2000,,,,824.88,
1-November-2000,,,,845.29,
2-November-2000,,,,854.49,
3-November-2000,,,,861.90,
6-November-2000,,,,866.29,
7-November-2000,,,,869.02,
8-November-2000,,,,875.88,
9-November-2000,,,,896.72,
10-November-2000,,,,873.37,
13-November-2000,,,,863.31,
14-November-2000,,,,887.45,
15-November-2000,,,,893.20,
16-November-2000,,,,880.89,
17-November-2000,,,,883.15,
20-November-2000,,,,892.27,
21-November-2000,,,,886.08,
22-November-2000,,,,873.44,
23-November-2000,,,,868.41,
24-November-2000,,,,877.73,
27-November-2000,,,,904.60,
