Date,Open,High,Low,Close
2-January-2006,,,,1317.89,
3-January-2006,,,,1357.03,
4-January-2006,,,,1368.00,
5-January-2006,,,,1394.67,
6-January-2006,,,,1400.54,
9-January-2006,,,,1425.26,
10-January-2006,,,,1426.41,
12-January-2006,,,,1445.04,
13-January-2006,,,,1490.93,
16-January-2006,,,,1524.81,
17-January-2006,,,,1511.43,
18-January-2006,,,,1490.70,
19-January-2006,,,,1538.58,
20-January-2006,,,,1559.69,
23-January-2006,,,,1572.82,
24-January-2006,,,,1607.24,
25-January-2006,,,,1595.78,
27-January-2006,,,,1588.09,
30-January-2006,,,,1585.99,
31-January-2006,,,,1588.53,
1-February-2006,,,,1557.15,
2-February-2006,,,,1551.25,
3-February-2006,,,,1542.78,
6-February-2006,,,,1538.12,
7-February-2006,,,,1510.55,
8-February-2006,,,,1502.87,
10-February-2006,,,,1547.41,
13-February-2006,,,,1572.80,
14-February-2006,,,,1597.73,
15-February-2006,,,,1613.19,
16-February-2006,,,,1627.63,
17-February-2006,,,,1607.42,
20-February-2006,,,,1572.87,
21-February-2006,,,,1587.84,
22-February-2006,,,,1603.48,
23-February-2006,,,,1578.26,
24-February-2006,,,,1562.45,
27-February-2006,,,,1603.69,
28-February-2006,,,,1620.62,
1-March-2006,,,,1654.77,
2-March-2006,,,,1709.71,
3-March-2006,,,,1745.57,
6-March-2006,,,,1805.35,
7-March-2006,,,,1892.06,
8-March-2006,,,,1894.07,
9-March-2006,,,,1914.84,
10-March-2006,,,,1960.07,
13-March-2006,,,,1965.17,
14-March-2006,,,,1945.32,
16-March-2006,,,,1956.42,
17-March-2006,,,,1952.36,
20-March-2006,,,,1995.43,
21-March-2006,,,,2012.20,
22-March-2006,,,,2038.31,
23-March-2006,,,,2057.55,
24-March-2006,,,,2075.65,
27-March-2006,,,,2159.97,
28-March-2006,,,,2186.40,
29-March-2006,,,,2222.00,
30-March-2006,,,,2260.73,
31-March-2006,,,,2299.23,
3-April-2006,,,,2363.54,
4-April-2006,,,,2399.71,
5-April-2006,,,,2437.00,
7-April-2006,,,,2482.63,
10-April-2006,,,,2534.61,
12-April-2006,,,,2553.36,
13-April-2006,,,,2555.05,
17-April-2006,,,,2650.18,
18-April-2006,,,,2705.65,
19-April-2006,,,,2741.20,
20-April-2006,,,,2804.42,
21-April-2006,,,,2957.23,
24-April-2006,,,,3097.26,
25-April-2006,,,,3183.65,
26-April-2006,,,,3352.69,
27-April-2006,,,,3452.86,
28-April-2006,,,,3502.68,
29-April-2006,,,,3701.18,
2-May-2006,,,,3793.10,
3-May-2006,,,,3805.49,
4-May-2006,,,,3899.44,
5-May-2006,,,,3981.16,
8-May-2006,,,,4055.94,
9-May-2006,,,,4114.61,
10-May-2006,,,,4254.93,
11-May-2006,,,,4336.04,
12-May-2006,,,,4530.90,
15-May-2006,,,,4645.22,
16-May-2006,,,,4497.23,
17-May-2006,,,,4758.09,
18-May-2006,,,,4408.42,
19-May-2006,,,,4230.95,
