Start Date,1/1/2000,,,
End Date,12/31/2017,,,
,,,,
,SENSEX Index,EURINR Curncy,USDINR Curncy,CO1 Comdty
,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST
1/3/2000,5375.11,43.9851,43.53,25.08
1/4/2000,5491.01,44.7411,43.505,24.39
1/5/2000,5357,45.1089,43.49,23.73
1/6/2000,5421.53,45.0364,43.54,23.62
1/7/2000,5414.48,44.8422,43.55,23.09
1/10/2000,5518.39,44.5801,43.54,23.73
1/11/2000,5296.3,44.849,43.525,24.62
1/12/2000,5491.2,44.9892,43.545,24.23
1/13/2000,5444.82,44.8408,43.56,24.53
1/14/2000,5471.27,44.6549,43.53,25.17
1/17/2000,5404.07,44.0607,43.545,25.65
1/18/2000,5464.51,43.933,43.535,26.05
1/19/2000,5478.24,44.0055,43.565,25.84
1/20/2000,5355.8,43.9796,43.61,26.1
1/21/2000,5423.05,44.2015,43.572,26.35
1/24/2000,5458.06,43.8217,43.64,26.06
1/25/2000,5367.79,43.7419,43.62,26.54
1/26/2000,5367.79,43.7064,43.595,26.13
1/27/2000,5369.1,43.5981,43.585,25.62
1/28/2000,5335.8,42.9616,43.64,25.68
1/31/2000,5205.29,42.8248,43.635,25.97
2/1/2000,5215.54,42.2353,43.63,26.39
2/2/2000,5304.92,42.3554,43.62,25.93
2/3/2000,5340.19,42.433,43.63,26.66
2/4/2000,5313.59,43.0374,43.63,27.07
2/7/2000,5474,42.7727,43.64,26.88
2/8/2000,5610.56,43.0194,43.64,26.37
2/9/2000,5649.1,43.1858,43.625,26.92
2/10/2000,5789.04,43.195,43.655,27.48
2/11/2000,5933.56,42.9549,43.66,27.82
2/14/2000,5924.31,43.2081,43.62,27.13
2/15/2000,5803.19,42.759,43.63,27.13
2/16/2000,5725.5,42.7781,43.62,27.37
2/17/2000,5835.15,43.3426,43.585,26.67
2/18/2000,5721.65,43.0138,43.64,26.22
2/21/2000,5876.89,43.0302,43.625,25.93
2/22/2000,5883.33,43.5278,43.625,26.58
2/23/2000,5642.46,43.8249,43.63,27.06
2/24/2000,5810.17,43.4312,43.645,27.37
2/25/2000,5623.08,43.1097,43.6195,27.48
2/28/2000,5740.69,42.2256,43.64,27.41
2/29/2000,5446.98,42.5047,43.62,28.09
3/1/2000,5642.12,42.2591,43.63,29.06
3/2/2000,5528.31,42.2895,43.625,29.22
3/3/2000,5378.27,42.1196,43.605,28.99
3/6/2000,5520.69,42.091,43.6,29.63
3/7/2000,5589.85,41.8887,43.6,31.9
3/8/2000,5511.42,41.639,43.585,28.8
3/9/2000,5328.79,41.9813,43.605,29.29
3/10/2000,5301.78,42.1038,43.605,28.94
3/13/2000,5129.22,42.2397,43.565,28.89
3/14/2000,5175.71,41.9767,43.585,27.3
3/15/2000,5249.76,42.0746,43.58,26.47
3/16/2000,5102.41,42.2092,43.575,26.78
3/17/2000,5102.41,42.1583,43.56,26.56
3/20/2000,5102.41,42.3277,43.595,25.21
3/21/2000,5133.24,42.3314,43.6,25.72
3/22/2000,5201.87,41.8781,43.605,25.4
3/23/2000,5115.02,41.9705,43.585,25.48
3/24/2000,5141.42,42.3032,43.62,25.91
3/27/2000,5146.3,42.4807,43.615,25.68
3/28/2000,5156.12,42.1149,43.615,25.51
3/29/2000,5102.46,41.7026,43.615,24.4
3/30/2000,5041.08,41.7145,43.605,24.63
3/31/2000,5001.28,41.576,43.62,24.77
4/3/2000,5052.94,41.6131,43.63,24.51
4/4/2000,4691.46,41.627,43.645,23.65
4/5/2000,4757.06,42.1718,43.65,23.75
4/6/2000,4866.73,42.018,43.645,23.45
4/7/2000,5219.2,41.7487,43.65,22.58
4/10/2000,5442.86,41.7086,43.64,21.3
4/11/2000,5541.54,41.881,43.645,21.83
4/12/2000,5426.82,41.7317,43.645,23.12
4/13/2000,5172.13,41.7277,43.645,22.79
4/14/2000,5172.13,41.6421,43.662,22.41
4/17/2000,4880.71,41.8313,43.664,22.74
4/18/2000,4745.47,41.4696,43.661,23.05
4/19/2000,4665.81,41.3311,43.662,23.77
4/20/2000,4657.42,41.0205,43.6625,23.83
4/21/2000,4657.42,40.8745,43.642,23.83
4/24/2000,4511.05,41.026,43.6664,23.83
4/25/2000,4533.99,40.6771,43.65,23.33
4/26/2000,4792.95,40.1419,43.6771,22.98
4/27/2000,4679.63,40.2173,43.676,23.76
4/28/2000,4657.55,39.5832,43.67,23.89
5/1/2000,4657.55,39.8612,43.665,23.89
5/2/2000,4372.22,39.7213,43.6703,25.08
5/3/2000,4335.29,39.1213,43.665,25
5/4/2000,4553.92,38.9653,43.665,25.15
5/5/2000,4693.88,39.091,43.6425,25.29
5/8/2000,4463.4,39.0012,43.665,26.08
5/9/2000,4578.49,39.1215,43.695,26.82
5/10/2000,4458.4,40.1431,44.05,26.42
5/11/2000,4251.36,39.9397,43.9,27.45
5/12/2000,4107.14,39.7214,43.95,28.05
5/15/2000,4212.53,40.2547,43.99,27.89
5/16/2000,4230.13,39.8758,43.965,28.1
5/17/2000,4234.23,39.2917,43.99,27.89
5/18/2000,4192.44,39.2344,43.98,28.92
5/19/2000,4068.65,39.0339,43.98,28.59
5/22/2000,3920.18,39.5423,44.025,27.43
5/23/2000,3943.54,40.0831,44.03,27.5
5/24/2000,3933.65,40.1873,44.175,28.61
5/25/2000,3999.03,39.765,44.065,29.19
5/26/2000,4084.71,40.612,44.4,29.22
5/29/2000,4189.85,41.2291,44.5025,29.22
5/30/2000,4311.77,41.7485,44.58,28.96
5/31/2000,4433.61,41.4876,44.575,28.31
6/1/2000,4325.47,41.5883,44.58,29.19
6/2/2000,4453.47,41.738,44.64,29.05
6/5/2000,4531.53,42.1182,44.675,28.37
6/6/2000,4591.68,42.2597,44.675,28.59
6/7/2000,4604.84,42.7839,44.755,29.22
6/8/2000,4728.81,42.8581,44.76,29.07
6/9/2000,4729.63,42.7198,44.765,29.58
6/12/2000,4639.46,42.6706,44.81,31.21
6/13/2000,4615.13,42.8303,44.75,29.85
6/14/2000,4625.04,43.0461,44.705,29.5
6/15/2000,4653.22,42.577,44.7,29.39
6/16/2000,4764.67,42.805,44.7,28.35
6/19/2000,4837.24,43.0292,44.675,27.98
6/20/2000,4863.9,42.6001,44.64,29.02
6/21/2000,4731.57,42.2964,44.665,29.33
6/22/2000,4794.16,41.9249,44.66,30.15
6/23/2000,4721.7,41.8962,44.68,30.39
6/26/2000,4670.09,41.6185,44.645,29.75
6/27/2000,4686.91,42.0154,44.66,30.24
6/28/2000,4748.8,42.0451,44.66,30.11
6/29/2000,4792.74,42.4807,44.6725,30.8
6/30/2000,4748.77,42.7849,44.675,30.57
7/3/2000,4844.98,42.3848,44.67,31.1
7/4/2000,4887.06,42.3545,44.665,29.58
7/5/2000,4912.11,42.6819,44.695,29.38
7/6/2000,4885.6,42.8526,44.78,29.67
7/7/2000,4905.94,42.4161,44.72,29.7
7/10/2000,4867.43,42.497,44.645,28.85
7/11/2000,4898.07,42.611,44.675,29.22
