Start Date,1/1/2000,,,,,,,,,,,,,,,,,,
End Date,12/1/2017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SENSEX Index,BSEAUTO Index,BANKEX Index,BSETCG Index,BSETCD Index,SPBSCGIP Index,SPBSHLIP Index,SPBSITIP Index,BSEMETL Index,BSEOIL Index,BSEREAL Index,BSEPOWR Index,SPBSCDIP Index,SPBSBMIP Index,SPBSENIP Index,SPBSFIIP Index,SPBSIDIP Index,SPBSTLIP Index,SPBSUTIP Index
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
1/3/2000,5375.11,1384.78,#N/A N/A,1196.46,1526.33,#N/A N/A,#N/A N/A,#N/A N/A,1865.1,1487.62,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/4/2000,5491.01,1398.91,#N/A N/A,1179.47,1517.65,#N/A N/A,#N/A N/A,#N/A N/A,1854.09,1481.58,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/5/2000,5357,1392.58,#N/A N/A,1145.4,1470.09,#N/A N/A,#N/A N/A,#N/A N/A,1899.13,1494.55,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/6/2000,5421.53,1435.42,#N/A N/A,1174.28,1531.15,#N/A N/A,#N/A N/A,#N/A N/A,2006.98,1484.88,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/7/2000,5414.48,1432.15,#N/A N/A,1138.47,1497.4,#N/A N/A,#N/A N/A,#N/A N/A,2037.91,1459.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/10/2000,5518.39,1488.67,#N/A N/A,1163.88,1547.76,#N/A N/A,#N/A N/A,#N/A N/A,2080.29,1482.32,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/11/2000,5296.3,1455.44,#N/A N/A,1121.89,1526.53,#N/A N/A,#N/A N/A,#N/A N/A,1977.46,1413.76,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/12/2000,5491.2,1454.14,#N/A N/A,1128.09,1505.8,#N/A N/A,#N/A N/A,#N/A N/A,1960.32,1445.75,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
